#      L             Mean            Error        
       4   2.99590709E-01   5.56509972E-06  
       8   1.68093245E-01   3.08060222E-06   
      16   8.99551767E-02   1.81124707E-06   
      32   4.72109969E-02   9.53222069E-07   
      64   2.45544648E-02   5.01271450E-07   
     128   1.27049195E-02   3.01541832E-07   
     256   6.55025400E-03   4.16713707E-07   
     512   3.36733655E-03   2.16551374E-07   
    1024   1.72702208E-03   1.36644131E-07   
    2048   8.83793282E-04   7.04612644E-08   
    4096   4.51463300E-04   4.17724659E-08  
    8192   2.30168927E-04   2.14214483E-08   
   16384   1.17176496E-04   1.34147083E-08   
   32768   5.95729716E-05   2.06146671E-08   
   65536   3.02487671E-05   1.64942209E-08   
